canonicalName,key
Faxonius juvenilis,8721209
Procambarus virginalis,9442269
Faxonius immunis,8930656
Procambarus clarkii,2227300
Procambarus acutus,2227289
Cherax destructor,4417558
Faxonius rusticus,8979506
Faxonius virilis,8971201
Lysichiton americanus,2869311
Houttuynia cordata,5384931
Aponogeton distachyos,5328593
Impatiens glandulifera,2891770
Heracleum persicum,3628745
Egeria densa,5329263
Myriophyllum aquaticum,5361785
Pontederia cordata,2766030
Petasites japonicus,3088310
Myriophyllum heterophyllum,5361762
Heracleum mantegazzianum,3034825
Ludwigia grandiflora,5421039
Saururus cernuus,5384932
Cabomba caroliniana,2882443
Ludwigia peploides,5420991
Crassula helmsii,5362054
Lagarosiphon major,2865565
Heracleum sosnowskyi,3642949
Erythranthe guttata,7346102
Koenigia polystachya,8848208
Hydrocotyle ranunculoides,7978544
Zizania latifolia,10919373
Threskiornis aethiopicus,2480764
Morone americana,2394604
Callosciurus finlaysonii,2437399
Limnoperna fortunei,5855350
Corvus splendens,2482499
Pycnonotus cafer,2486131
Eriocheir sinensis,2225776
Pacifastacus leniusculus,2226990
Solenopsis invicta,5035230
Gambusia affinis,2350580
Pseudorasbora parva,2362868
Muntiacus reevesi,2440946
Lepomis gibbosus,2394486
Arthurdendyus triangulatus,2502792
Solenopsis richteri,5035017
Sciurus niger,5219683
Trachemys scripta,2443002
Plotosus lineatus,7965247
Channa argus,4284921
Solenopsis geminata,5035187
Alopochen aegyptiacus,2498252
Nasua nasua,2433536
Procyon lotor,5218786
Callosciurus erythraeus,2437394
Ondatra zibethicus,5219858
Myocastor coypus,4264680
Faxonius limosus,8909595
Wasmannia auropunctata,1315391
Gambusia holbrooki,2350570
Axis axis,2440934
Herpestes javanicus,2434271
Tamias sibiricus,2437450
Nyctereutes procyonoides,2434552
Lampropeltis getula,9799308
Oxyura jamaicensis,2498305
Lithobates catesbeianus,2427091
Perccottus glenii,2390064
Fundulus heteroclitus,5712056
Xenopus laevis,5217334
Acridotheres tristis,2489005
Ameiurus melas,2340977
Rugulopteryx okamurae,5824863
Persicaria perfoliata,4033648
Pistia stratiotes,2870583
Microstegium vimineum,5289808
Elodea nuttallii,5329212
Alternanthera philoxeroides,3084923
Asclepias syriaca,3170247
Baccharis halimifolia,3129663
Parthenium hysterophorus,3086784
Celastrus orbiculatus,3169169
Cortaderia jubata,2704521
Cardiospermum grandiflorum,3189935
Pueraria montana lobata,2977647
Sapium sebiferum,3054399
Humulus scandens,2984537
Eichhornia crassipes,2765942
Lespedeza cuneata,8114276
Ailanthus altissima,3190653
Lygodium japonicum,2650436
Andropogon virginicus,2706080
Prosopis juliflora,5358460
Acacia saligna,2978552
Pennisetum setaceum,5828232
Hakea sericea,7287606
Ehrharta calycina,2702865
Gunnera tinctoria,2984306
Gymnocoronis spilanthoides,6063677
Marisa cornuarietis,2292586
Cipangopaludina chinensis,9738098
Brachyponera chinensis,1319870
Acridotheres cristatellus,2489010
Sciurus carolinensis,5219681
Rhus typhina,3190538
Parthenocissus quinquefolia,3039194
Spiraea billardii,7889822
Prunus laurocerasus,3021496
Rosa rugosa,3003979
Spiraea alba,3026585
Solidago gigantea,5389017
Rubus armeniacus,2996525
Robinia pseudoacacia,5352251
Acer negundo,3189866
Arundo donax,2703041
Azolla filiculoides,2650107
Cotoneaster horizontalis,3025617
Elaeagnus angustifolia,3039269
Elodea canadensis,2865448
Fallopia baldschuanica,5334351
Fraxinus pennsylvanica,3172348
Helianthus tuberosus,3119175
Helianthus laetiflorus,3119181
Hydrilla verticillata,5329570
Impatiens capensis,2891774
Laburnum anagyroides,5356345
Lemna minuta,2867614
Lemna turionifera,2867631
Limnobium laevigatum,11055820
Reynoutria japonica,2889173
Myriophyllum rubricaule,11742641
Prunus serotina,3021850
Parthenocissus tricuspidata,3039209
Mahonia aquifolium,3033865
Parthenocissus inserta,3039203
Spiraea tomentosa,3026819
Spiraea douglasii,3027159
Reynoutria bohemica,4038485
Salvinia molesta,5274863
Rudbeckia laciniata,3114229
Reynoutria sachalinensis,2889088
Spiraea salicifolia,3026454
Solidago canadensis,5389029
Vespa velutina,1311477
