id	name	vernacular_name	gbif_taxon_key	group
31	Aponogeton distachyos	Cape-pondweed	5328593	PL
13	Cabomba caroliniana	fanwort	2882443	PL
22	Cherax destructor	Australian yabbi	4417558	CR
29	Crassula helmsii	New Zealand pigmyweed	5362054	PL
32	Egeria densa	greater pondweed	5329260	PL
26	Erythranthe guttata	monkeyflower	7346102	PL
20	Faxonius immunis	calico crayfish	8930656	CR
21	Faxonius juvenilis	Kentucky river crayfish	8721209	CR
19	Faxonius rusticus	rusty crayfish	8979506	CR
17	Faxonius virilis	virile crayfish	8971201	CR
2	Heracleum mantegazzianum	giant hogweed	3034825	PL
14	Heracleum persicum	Persian hogweed	3628745	PL
15	Heracleum sosnowskyi	Sosnowsky's hogweed	3642949	PL
25	Houttuynia cordata	Chinese lizard tail	5384931	PL
3	Hydrocotyle ranunculoides	floating pennywort	3034613	PL
5	Impatiens glandulifera	Himalayan balsam	2891770	PL
34	Koenigia polystachya	Himalayan knotweed	8848208	PL
9	Lagarosiphon major	curly waterweed	2865565	PL
4	Ludwigia grandiflora	water-primrose	5421039	PL
16	Ludwigia peploides	floating primrose-willow	5420991	PL
10	Lysichiton americanus	American skunk cabbage	2869311	PL
6	Myriophyllum aquaticum	parrot's feather	5361785	PL
11	Myriophyllum heterophyllum	broadleaf watermilfoil	5361762	PL
28	Petasites japonicus	giant butterbur	3088310	PL
30	Pontederia cordata	pickerelweed	2766030	PL
23	Procambarus acutus	white river crayfish	2227289	CR
12	Procambarus clarkii	red swamp crayfish	2227300	CR
33	Procambarus virginalis	marbled crayfish	9442269	CR
24	Saururus cernuus	lizard's tail	5384932	PL
27	Zizania latifolia	Manchurian wildrice	2703231	PL
