id,name,vernacular_name,gbif_taxon_key,tags
31,Aponogeton distachyos,Cape-pondweed,5328593,"1,2"
13,Cabomba caroliniana,fanwort,2882443,"1,2,3"
22,Cherax destructor,Australian yabbi,4417558,"2,4,5"
29,Crassula helmsii,New Zealand pigmyweed,5362054,"1,2"
32,Egeria densa,greater pondweed,5329263,"1,2"
26,Erythranthe guttata,monkeyflower,7346102,"1,2"
20,Faxonius immunis,calico crayfish,8930656,"2,4,5"
21,Faxonius juvenilis,Kentucky river crayfish,8721209,"2,4,5"
19,Faxonius rusticus,rusty crayfish,8979506,"2,3,4,5"
17,Faxonius virilis,virile crayfish,8971201,"2,3,4,5"
2,Heracleum mantegazzianum,giant hogweed,3034825,"1,2,3"
14,Heracleum persicum,Persian hogweed,3628745,"1,2,3"
15,Heracleum sosnowskyi,Sosnowsky's hogweed,3628608,"1,2,3"
25,Houttuynia cordata,Chinese lizard tail,5384931,"1,2"
3,Hydrocotyle ranunculoides,floating pennywort,3034613,"1,2,3"
5,Impatiens glandulifera,Himalayan balsam,2891770,"1,2,3"
34,Koenigia polystachya,Himalayan knotweed,8848208,"1,2,3"
9,Lagarosiphon major,curly waterweed,2865565,"1,2,3"
4,Ludwigia grandiflora,water-primrose,5421039,"1,2,3"
16,Ludwigia peploides,floating primrose-willow,5420991,"1,2,3"
10,Lysichiton americanus,American skunk cabbage,2869311,"1,2,3"
6,Myriophyllum aquaticum,parrot's feather,5361785,"1,2,3"
11,Myriophyllum heterophyllum,broadleaf watermilfoil,5361762,"1,2,3"
28,Petasites japonicus,giant butterbur,3088310,"1,2"
30,Pontederia cordata,pickerelweed,2766030,"1,2"
23,Procambarus acutus,white river crayfish,2227289,"2,4,5"
12,Procambarus clarkii,red swamp crayfish,2227300,"2,3,4,5"
33,Procambarus virginalis,marbled crayfish,9442269,"2,3,4,5"
24,Saururus cernuus,lizard's tail,5384932,"1,2"
27,Zizania latifolia,Manchurian wildrice,10919373,"1,2"
