id,name,vernacular_name,vernacular_name_en,vernacular_name_fr,vernacular_name_nl,gbif_taxon_key,tags
81,Acacia saligna,wilgacacia,golden wreath wattle,mimosa bleuâtre,wilgacacia,2978552,"1,3"
115,Acer negundo,vederesdoorn,box elder,érable negundo,vederesdoorn,3189866,"1,42"
73,Acridotheres tristis,treurmaina,common myna,martin triste,treurmaina,2489005,"3,5,8"
85,Ailanthus altissima,hemelboom,tree of heaven,ailante glanduleux,hemelboom,3190653,"1,3,42"
54,Alopochen aegyptiacus,nijlgans,Egyptian goose,ouette d'Égypte,nijlgans,2498252,"3,5,8"
97,Alternanthera philoxeroides,alligatorkruid,alligator weed,herbe à alligator,alligatorkruid,3084923,"1,3,42"
74,Ameiurus melas,zwarte dwergmeerval,black bullhead,poisson-chat commun,zwarte dwergmeerval,2340977,"3,5,11"
83,Andropogon virginicus,Amerikaans bezemgras,broomsedge bluestem,barbon de Virginie,Amerikaans bezemgras,2706080,"1,3"
31,Aponogeton distachyos,Kaapse waterlelie,Cape pondweed,Aponogeton à deux épis,Kaapse waterlelie,5328593,"1,2,42"
47,Arthurdendyus triangulatus,nieuw-Zeelandse platworm,New Zealand flatworm,ver plat de Nouvelle-Zélande,nieuw-Zeelandse platworm,2502792,"3,5,12"
116,Arundo donax,pijlriet,giant reed,canne du Languedoc,pijlriet,2703041,"1,42"
96,Asclepias syriaca,zijdeplant,common milkweed,asclépiade de Syrie,zijdeplant,3170247,"1,3,42"
63,Axis axis,axishert,axis deer,cerf axis,axishert,2440934,"3,5,6"
117,Azolla filiculoides,grote kroosvaren,water fern,fougère d'eau,grote kroosvaren,2650107,"1,42"
95,Baccharis halimifolia,struikaster,Eastern baccharis,séneçon en arbre,struikaster,3129663,"1,3,42"
13,Cabomba caroliniana,waterwaaier,Fanwort,cabomba de Caroline,waterwaaier,2882443,"1,2,3,42"
57,Callosciurus erythraeus,Pallas eekhoorn,Pallas' squirrel,écureuil de Pallas,Pallas eekhoorn,2437394,"3,5,6"
35,Callosciurus finlaysonii,Thaise eekhoorn,Finlayson's squirrel,écureuil de Finlayson,Thaise eekhoorn,2437399,"3,5,6"
91,Cardiospermum grandiflorum,ballonrank,Balloon vine,corinde à grandes fleurs,ballonrank,3189935,"1,3"
93,Celastrus orbiculatus,Aziatische Boomwurger,Oriental bittersweet,célastre asiatique,Aziatische Boomwurger,3169169,"1,3"
52,Channa argus,noordelijke slangekopvis,northern snakehead,poisson à tête de serpent,noordelijke slangekopvis,4284921,"3,5,11"
22,Cherax destructor,gewone yabby,Common yabby,,gewone yabby,4417558,"2,4,5"
92,Cortaderia jubata,hoog pampasgras,Purple pampas grass,herbe de la pampa pourpre,hoog pampasgras,2704521,"1,3"
37,Corvus splendens,huiskraai,Indian house crow,corbeau familier,huiskraai,2482499,"3,5,8"
119,Cotoneaster horizontalis,vlakke dwergmispel,wall cotoneaster,cotonéaster rampant,vlakke dwergmispel,3025617,"1,42"
29,Crassula helmsii,watercrassula,,,watercrassula,5362054,"1,2"
32,Egeria densa,egeria,Large-flowered waterweed,Egeria,egeria,5329263,"1,2,42"
78,Ehrharta calycina,roze rimpelgras,Perrenial veldt grass,ehrharte calicinale,roze rimpelgras,2702865,"1,3"
87,Eichhornia crassipes,waterhyacint,Water hyacinth,jacinthe d'eau,waterhyacint,2765942,"1,3,42"
120,Elaeagnus angustifolia,smalle olijfwilg,Russian olive,olivier de Bohême,smalle olijfwilg,3039269,"1,42"
121,Elodea canadensis,brede waterpest,American waterweed,élodée du Canada,brede waterpest,2865448,"1,42"
98,Elodea nuttallii,smalle waterpest,Nuttall's waterweed,élodée de Nuttall,smalle waterpest,5329212,"1,3,42"
39,Eriocheir sinensis,Chinese wolhandkrab,Chinese mittencrab,crabe chinois,Chinese wolhandkrab,2225776,"3,5,9"
26,Erythranthe guttata,gele maskerbloem,monkeyflower,,gele maskerbloem,7346102,"1,2"
122,Fallopia baldschuanica,Chinese bruidssluier,Russian-vine,vrillée du Turkestan,Chinese bruidssluier,5334351,"1,42"
20,Faxonius immunis,calicotrivierkreeft,Calico crayfish,Ecrevisse Calicot,calicotrivierkreeft,8930656,"2,4,5"
21,Faxonius juvenilis,Kentuckyrivierkreeft,Kentucky River crayfish,,Kentuckyrivierkreeft,8721209,"2,4,5"
60,Faxonius limosus,gevlekte rivierkreeft,Spiny-cheek crayfish,écrevisse américaine,gevlekte rivierkreeft,8909595,"3,4,5"
19,Faxonius rusticus,roestbruine Amerikaanse Rivierkreeft,rusty crayfish,écrevisse à taches rouges,roestbruine Amerikaanse Rivierkreeft,8979506,"2,3,4,5"
17,Faxonius virilis,geknobbelde Amerikaanse rivierkreeft,Virile crayfish,écrevisse à pinces bleues,geknobbelde Amerikaanse rivierkreeft,8971201,"2,3,4,5"
123,Fraxinus pennsylvanica,Pennsylvaanse es,green ash,frêne rouge,Pennsylvaanse es,3172348,"1,42"
71,Fundulus heteroclitus,mummichog,mummichog,choquemort,mummichog,5712056,"3,5,11"
43,Gambusia affinis,westelijk muskietenvisje,western mosquitofish,gambusie de l’ouest,westelijk muskietenvisje,2350580,"3,5,11"
62,Gambusia holbrooki,oostelijk muskietenvisje,eastern mosquitofish,gambusie de l’est,oostelijk muskietenvisje,2350570,"3,5,11"
77,Gunnera tinctoria,gewone gunnera,Chilean rhubarb,rhubarbe géante du Chili,gewone gunnera,2984306,"1,3"
76,Gymnocoronis spilanthoides,smalle theeplant,Senegal tea plant,faux hygrophile,smalle theeplant,6063677,"1,3,42"
79,Hakea sericea,hakea,bushy needlewood,hakéa soyeux,hakea,7287606,"1,3"
